 time            v(Vin)          v(Vout)        
 2.84850000e-08  0.00000000e+00  1.79999993e+00 
 2.84950000e-08  0.00000000e+00  1.80000005e+00 
 2.85050000e-08  0.00000000e+00  1.79999993e+00 
 2.85150000e-08  0.00000000e+00  1.80000005e+00 
 2.85250000e-08  0.00000000e+00  1.79999993e+00 
 2.85350000e-08  0.00000000e+00  1.80000005e+00 
 2.85450000e-08  0.00000000e+00  1.79999993e+00 
 2.85550000e-08  0.00000000e+00  1.80000005e+00 
 2.85650000e-08  0.00000000e+00  1.79999993e+00 
 2.85750000e-08  0.00000000e+00  1.80000005e+00 
 2.85850000e-08  0.00000000e+00  1.79999993e+00 
 2.85950000e-08  0.00000000e+00  1.80000005e+00 
 2.86050000e-08  0.00000000e+00  1.79999993e+00 
 2.86150000e-08  0.00000000e+00  1.80000005e+00 
 2.86250000e-08  0.00000000e+00  1.79999993e+00 
 2.86350000e-08  0.00000000e+00  1.80000005e+00 
 2.86450000e-08  0.00000000e+00  1.79999993e+00 
 2.86550000e-08  0.00000000e+00  1.80000005e+00 
 2.86650000e-08  0.00000000e+00  1.79999993e+00 
 2.86750000e-08  0.00000000e+00  1.80000005e+00 
 2.86850000e-08  0.00000000e+00  1.79999993e+00 
 2.86950000e-08  0.00000000e+00  1.80000005e+00 
 2.87050000e-08  0.00000000e+00  1.79999993e+00 
 2.87150000e-08  0.00000000e+00  1.80000005e+00 
 2.87250000e-08  0.00000000e+00  1.79999993e+00 
 2.87350000e-08  0.00000000e+00  1.80000005e+00 
 2.87450000e-08  0.00000000e+00  1.79999993e+00 
 2.87550000e-08  0.00000000e+00  1.80000004e+00 
 2.87650000e-08  0.00000000e+00  1.79999993e+00 
 2.87750000e-08  0.00000000e+00  1.80000004e+00 
 2.87850000e-08  0.00000000e+00  1.79999993e+00 
 2.87950000e-08  0.00000000e+00  1.80000004e+00 
 2.88050000e-08  0.00000000e+00  1.79999994e+00 
 2.88150000e-08  0.00000000e+00  1.80000004e+00 
 2.88250000e-08  0.00000000e+00  1.79999994e+00 
 2.88350000e-08  0.00000000e+00  1.80000004e+00 
 2.88450000e-08  0.00000000e+00  1.79999994e+00 
 2.88550000e-08  0.00000000e+00  1.80000004e+00 
 2.88650000e-08  0.00000000e+00  1.79999994e+00 
 2.88750000e-08  0.00000000e+00  1.80000004e+00 
 2.88850000e-08  0.00000000e+00  1.79999994e+00 
 2.88950000e-08  0.00000000e+00  1.80000004e+00 
 2.89050000e-08  0.00000000e+00  1.79999994e+00 
 2.89150000e-08  0.00000000e+00  1.80000004e+00 
 2.89250000e-08  0.00000000e+00  1.79999994e+00 
 2.89350000e-08  0.00000000e+00  1.80000004e+00 
 2.89450000e-08  0.00000000e+00  1.79999994e+00 
 2.89550000e-08  0.00000000e+00  1.80000004e+00 
 2.89650000e-08  0.00000000e+00  1.79999994e+00 
 2.89750000e-08  0.00000000e+00  1.80000004e+00 
 2.89850000e-08  0.00000000e+00  1.79999994e+00 
 2.89950000e-08  0.00000000e+00  1.80000004e+00 
 2.90050000e-08  0.00000000e+00  1.79999994e+00 
 2.90150000e-08  0.00000000e+00  1.80000004e+00 
 2.90250000e-08  0.00000000e+00  1.79999994e+00 
 2.90350000e-08  0.00000000e+00  1.80000004e+00 
 2.90450000e-08  0.00000000e+00  1.79999994e+00 
 2.90550000e-08  0.00000000e+00  1.80000004e+00 
 2.90650000e-08  0.00000000e+00  1.79999994e+00 
 2.90750000e-08  0.00000000e+00  1.80000004e+00 
 2.90850000e-08  0.00000000e+00  1.79999994e+00 
 2.90950000e-08  0.00000000e+00  1.80000004e+00 
 2.91050000e-08  0.00000000e+00  1.79999994e+00 
 2.91150000e-08  0.00000000e+00  1.80000004e+00 
